,Error,Time,Iterations
1,16,0.8036782741546631,10000
2,15,1.5392563343048096,20000
3,16,2.211404323577881,30000
4,13,3.1407270431518555,40000
5,14,3.6812682151794434,50000
6,13,4.604005813598633,60000
7,12,5.5257651805877686,70000
8,14,6.847476243972778,80000
9,15,9.011167526245117,90000
10,12,9.584738969802856,100000
11,14,9.244402647018433,110000
12,13,9.391083478927612,120000
13,12,10.658898830413818,130000
14,16,12.734468221664429,140000
15,11,13.717348098754883,150000
16,10,12.41260290145874,160000
17,12,13.765540599822998,170000
18,12,18.038900136947632,180000
19,11,15.409271717071533,190000
20,13,15.455604553222656,200000
21,13,20.336803674697876,210000
22,12,16.938124895095825,220000
23,10,18.66875171661377,230000
24,11,18.826853275299072,240000
25,11,19.554924964904785,250000
26,12,20.88862156867981,260000
27,12,21.8899188041687,270000
28,13,21.178280353546143,280000
29,12,22.251216650009155,290000
30,10,23.229421615600586,300000
31,12,34.39594125747681,310000
32,11,31.170406341552734,320000
33,10,25.021578073501587,330000
34,11,36.58638787269592,340000
35,12,36.07074809074402,350000
36,11,30.713921070098877,360000
37,12,30.239299774169922,370000
38,10,38.95626759529114,380000
39,9,67.07274913787842,390000
40,10,69.17516231536865,400000
41,11,64.33749341964722,410000
42,13,65.18285846710205,420000
43,10,66.23374819755554,430000
44,9,67.83238387107849,440000
45,12,69.33946442604065,450000
46,10,68.64751362800598,460000
47,9,74.51684617996216,470000
48,11,70.28703832626343,480000
49,10,69.95114493370056,490000
50,10,70.68526411056519,500000
51,15,71.3125786781311,510000
52,14,72.00316119194031,520000
53,10,73.33918499946594,530000
54,9,73.707927942276,540000
55,10,74.76171636581421,550000
56,10,74.8185122013092,560000
57,10,74.49391674995422,570000
58,8,76.00662970542908,580000
59,11,75.60150027275085,590000
60,9,77.69294857978821,600000
61,10,77.6444456577301,610000
62,10,77.8622305393219,620000
63,9,78.37148380279541,630000
64,10,83.79114890098572,640000
65,11,111.7758572101593,650000
66,11,116.0843095779419,660000
67,10,115.60010576248169,670000
68,10,118.79609799385071,680000
69,9,126.62014126777649,690000
70,10,121.8859760761261,700000
71,14,124.14470314979553,710000
72,9,127.46699953079224,720000
73,8,127.21456718444824,730000
74,9,130.90035104751587,740000
75,10,131.52611637115479,750000
76,10,133.89434456825256,760000
77,13,135.69806098937988,770000
78,7,138.66060495376587,780000
79,11,137.85976839065552,790000
80,10,142.40580987930298,800000
81,12,141.94810485839844,810000
82,11,149.07284235954285,820000
83,11,146.00136423110962,830000
84,9,147.76391100883484,840000
85,11,148.37890124320984,850000
86,11,151.46677780151367,860000
87,9,154.07141256332397,870000
88,8,154.74077677726746,880000
89,13,156.73707938194275,890000
90,9,160.64082860946655,900000
91,10,157.9557945728302,910000
92,8,162.61275219917297,920000
93,9,162.67734336853027,930000
94,9,170.04429364204407,940000
95,9,166.1233627796173,950000
96,10,168.27486872673035,960000
97,10,171.72193479537964,970000
98,11,171.89376258850098,980000
99,8,174.04144406318665,990000
100,8,176.17037868499756,1000000
101,10,178.007061958313,1010000
102,10,179.79512095451355,1020000
103,8,180.3299596309662,1030000
104,9,187.8370099067688,1040000
105,9,183.29532742500305,1050000
106,9,184.5129189491272,1060000
107,12,189.1789927482605,1070000
108,10,188.90281772613525,1080000
109,9,190.51777935028076,1090000
110,8,192.78957152366638,1100000
111,8,196.23803043365479,1110000
112,9,195.9413664340973,1120000
113,8,195.86189079284668,1130000
114,9,205.487322807312,1140000
115,11,200.24465894699097,1150000
116,10,201.83117699623108,1160000
117,9,205.9187150001526,1170000
118,7,205.79515290260315,1180000
119,10,209.2479703426361,1190000
120,8,208.75350189208984,1200000
121,9,211.89289736747742,1210000
122,12,218.39576482772827,1220000
123,8,215.333975315094,1230000
124,9,217.36334347724915,1240000
125,13,218.5180106163025,1250000
126,10,220.39086985588074,1260000
127,8,223.04913234710693,1270000
128,11,223.62673950195312,1280000
129,8,224.7392213344574,1290000
130,9,230.1263780593872,1300000
131,9,229.83815670013428,1310000
132,10,231.02942180633545,1320000
133,9,233.16521167755127,1330000
134,10,234.2001175880432,1340000
135,9,234.8359911441803,1350000
136,8,238.6734914779663,1360000
137,8,236.90888953208923,1370000
138,10,249.0906903743744,1380000
139,7,242.64392614364624,1390000
140,9,242.71932697296143,1400000
141,10,250.66359639167786,1410000
142,8,247.45726370811462,1420000
143,9,250.2122142314911,1430000
144,10,251.15373492240906,1440000
145,8,258.9351143836975,1450000
146,9,254.0407838821411,1460000
147,7,256.65520906448364,1470000
148,8,263.01844477653503,1480000
149,8,259.00091886520386,1490000
150,9,262.2556664943695,1500000
151,11,263.7584710121155,1510000
152,9,269.7489631175995,1520000
153,8,268.6839997768402,1530000
154,11,267.7424285411835,1540000
155,12,270.4712975025177,1550000
156,9,270.42165184020996,1560000
157,11,275.0895986557007,1570000
158,9,272.32533979415894,1580000
159,8,284.15293073654175,1590000
160,8,276.1784369945526,1600000
161,11,280.48371839523315,1610000
162,10,283.6212110519409,1620000
163,8,284.3446888923645,1630000
164,12,283.8258013725281,1640000
165,8,293.3509259223938,1650000
166,10,289.43487906455994,1660000
167,10,291.44887137413025,1670000
168,11,294.07012820243835,1680000
169,10,295.6079969406128,1690000
170,8,295.604341506958,1700000
171,9,301.3459870815277,1710000
172,9,298.6315016746521,1720000
173,9,309.8659052848816,1730000
174,8,240.17949557304382,1740000
175,8,139.73034358024597,1750000
176,8,152.77663850784302,1760000
177,7,134.06842613220215,1770000
178,8,135.53770804405212,1780000
179,8,139.56076169013977,1790000
180,8,140.5987093448639,1800000
181,10,157.67536449432373,1810000
182,8,178.69630408287048,1820000
183,9,393.05284309387207,1830000
184,9,464.2953209877014,1840000
185,10,403.73740458488464,1850000
186,8,406.9611864089966,1860000
187,8,407.26662516593933,1870000
188,8,407.259877204895,1880000
189,8,414.9176735877991,1890000
190,9,409.8585453033447,1900000
191,10,417.1273958683014,1910000
192,9,462.6081922054291,1920000
193,9,504.0483465194702,1930000
194,8,499.58374309539795,1940000
195,8,495.2086892127991,1950000
196,10,498.6668314933777,1960000
197,8,494.2327892780304,1970000
198,8,497.55546736717224,1980000
199,9,497.8675057888031,1990000
200,11,495.18268847465515,2000000
201,8,500.10602831840515,2010000
202,7,504.1396701335907,2020000
203,8,510.83562660217285,2030000
204,9,512.4675104618073,2040000
205,9,515.9329469203949,2050000
206,10,511.58544874191284,2060000
207,8,523.4885230064392,2070000
208,9,520.9954533576965,2080000
209,11,525.3956227302551,2090000
210,8,530.1657519340515,2100000
211,8,523.7833743095398,2110000
212,8,527.6431975364685,2120000
213,8,534.1574506759644,2130000
214,8,535.6756954193115,2140000
215,9,606.8833310604095,2150000
216,8,546.2539303302765,2160000
217,7,539.1801207065582,2170000
218,7,23695.189059257507,2180000
219,9,550.0677342414856,2190000
220,9,568.5405104160309,2200000
221,8,540.5518238544464,2210000
222,8,563.1051480770111,2220000
223,8,568.9529776573181,2230000
224,8,565.108728647232,2240000
225,8,544.6399471759796,2250000
226,8,543.9564723968506,2260000
